date,time,open,high,low,close,volume
2025.05.29,20:00,3316.58600,3321.09800,3312.85400,3315.50300,13662
2025.05.30,00:00,3315.49800,3322.77700,3291.21900,3294.53100,48164
2025.05.30,04:00,3294.53000,3305.02000,3287.33600,3294.93000,39766
2025.05.30,08:00,3294.97500,3300.66900,3288.66800,3294.05500,33417
2025.05.30,12:00,3294.07600,3308.32600,3271.52600,3288.67600,101962
2025.05.30,16:00,3288.58700,3295.77800,3283.95700,3294.86500,36766
2025.05.30,20:00,3294.81200,3295.83400,3288.64200,3289.66500,4819
2025.06.01,22:05,3303.11300,3316.74200,3299.87300,3310.25500,17010
2025.06.02,00:00,3310.21300,3314.95900,3301.40900,3308.68500,37652
2025.06.02,04:00,3308.73300,3359.03700,3308.73300,3352.54700,43178
2025.06.02,08:00,3352.65300,3360.15200,3344.39000,3356.32400,37312
2025.06.02,12:00,3356.29600,3379.06400,3350.28800,3374.31900,67926
2025.06.02,16:00,3374.34900,3382.34400,3369.28500,3381.53900,30438
2025.06.02,20:00,3381.51300,3392.23800,3378.39400,3387.38400,18095
2025.06.03,00:00,3387.37700,3388.67100,3359.71700,3361.08700,56969
2025.06.03,04:00,3361.19500,3367.78400,3351.14900,3359.64800,42027
2025.06.03,08:00,3359.75200,3364.91300,3353.30500,3359.36600,29150
2025.06.03,12:00,3359.32300,3363.12900,3333.10300,3350.28400,62497
2025.06.03,16:00,3350.33300,3355.49000,3344.58500,3352.65700,23034
2025.06.03,20:00,3352.61700,3361.65700,3352.46900,3359.93400,11138
2025.06.04,00:00,3359.98900,3372.63700,3346.46100,3359.24600,40436
2025.06.04,04:00,3359.23600,3365.24800,3347.99600,3354.72100,36544
2025.06.04,08:00,3354.67900,3364.99800,3343.72800,3346.57700,35173
2025.06.04,12:00,3346.61300,3384.63700,3344.33000,3371.76400,68736
2025.06.04,16:00,3371.72400,3382.21700,3370.80400,3373.61400,24731
2025.06.04,20:00,3373.56600,3379.08000,3370.50800,3378.04200,12472
2025.06.05,00:00,3378.09900,3384.18300,3368.17200,3369.67400,38005
2025.06.05,04:00,3369.68300,3374.55900,3361.13800,3371.30400,32246
2025.06.05,08:00,3371.30000,3403.59200,3369.64100,3392.29300,49036
2025.06.05,12:00,3392.32700,3400.16100,3339.37000,3344.77900,136284
2025.06.05,16:00,3344.74400,3361.40400,3339.83900,3356.71000,46685
2025.06.05,20:00,3356.67800,3363.57700,3352.01200,3361.81000,16997
2025.06.06,00:00,3361.86700,3371.84400,3356.13300,3369.74700,35032
2025.06.06,04:00,3369.68800,3375.68500,3352.81700,3359.37400,36883
2025.06.06,08:00,3359.41900,3367.73200,3352.70300,3358.30800,32235
2025.06.06,12:00,3358.34500,3364.42100,3316.26900,3332.23100,120851
2025.06.06,16:00,3332.18200,3332.72800,3311.35800,3312.34500,36046
2025.06.06,20:00,3312.38200,3312.89600,3307.05300,3311.70200,5588
2025.06.08,22:05,3317.81900,3321.21400,3309.22800,3318.03800,14556
2025.06.09,00:00,3318.08200,3318.69900,3293.45300,3310.76900,51182
2025.06.09,04:00,3310.79900,3328.65200,3309.24800,3324.23800,31141
2025.06.09,08:00,3324.26900,3325.64500,3312.05700,3317.42400,29503
2025.06.09,12:00,3317.41200,3332.04000,3310.69800,3328.66500,50734
2025.06.09,16:00,3328.66800,3338.21600,3325.89100,3327.23100,25257
2025.06.09,20:00,3327.20100,3329.50000,3321.56200,3326.76600,12438
2025.06.10,00:00,3326.80900,3326.85100,3301.93300,3307.60200,47434
2025.06.10,04:00,3307.59200,3332.17200,3302.78900,3330.18000,43514
2025.06.10,08:00,3330.09000,3342.57100,3326.17000,3333.78000,29651
2025.06.10,12:00,3333.81700,3349.15300,3323.16500,3326.69200,59909
2025.06.10,16:00,3326.65300,3334.53900,3319.35800,3328.71600,28172
2025.06.10,20:00,3328.75700,3328.95800,3315.51700,3327.86200,19981
2025.06.11,00:00,3327.89900,3341.56600,3325.00800,3339.41600,34986
2025.06.11,04:00,3339.39500,3348.53100,3332.52200,3345.69600,31875
2025.06.11,08:00,3345.66400,3346.71700,3326.03800,3333.09700,36304
2025.06.11,12:00,3333.10300,3360.76400,3327.19600,3333.19500,92430
2025.06.11,16:00,3333.29300,3349.26800,3319.19400,3346.84900,50051
2025.06.11,20:00,3346.87600,3373.53400,3346.52200,3365.37600,25937
2025.06.12,00:00,3365.47200,3377.78600,3362.11800,3373.42500,47434
2025.06.12,04:00,3373.43800,3375.78300,3338.57000,3346.16800,43254
2025.06.12,08:00,3346.19200,3388.58100,3346.19200,3379.28500,56766
2025.06.12,12:00,3379.25200,3399.04500,3376.33700,3385.80400,85838
2025.06.12,16:00,3385.90600,3391.37400,3378.09700,3388.13900,31734
2025.06.12,20:00,3388.11100,3396.29600,3379.60600,3395.76300,15140
2025.06.13,00:00,3395.72300,3444.43200,3391.71700,3425.54300,111662
2025.06.13,04:00,3425.51700,3430.31000,3407.84600,3414.93300,55636
2025.06.13,08:00,3414.85800,3427.68400,3411.59900,3422.21700,49419
2025.06.13,12:00,3422.20700,3446.75500,3420.90600,3426.22500,78643
2025.06.13,16:00,3426.25800,3439.47300,3419.21000,3432.30700,40001
2025.06.13,20:00,3432.35200,3434.78000,3428.95500,3433.52100,6173
2025.06.15,22:05,3440.95500,3451.25900,3438.60400,3444.14100,24962
2025.06.16,00:00,3444.16600,3451.24900,3429.26900,3431.42800,51235
2025.06.16,04:00,3431.47500,3433.26100,3409.45900,3412.61900,48919
2025.06.16,08:00,3412.62400,3422.68300,3409.77300,3415.00000,36336
2025.06.16,12:00,3415.04300,3418.12800,3382.72500,3404.60100,86494
2025.06.16,16:00,3404.53400,3404.99200,3382.79000,3383.97500,32394
2025.06.16,20:00,3383.94500,3402.97700,3383.29400,3402.76900,20567
2025.06.17,00:00,3402.81500,3403.28900,3373.46300,3387.58300,52458
2025.06.17,04:00,3387.55700,3396.28900,3381.07400,3387.78300,36311
2025.06.17,08:00,3387.78400,3400.16700,3375.74700,3388.63500,45651
2025.06.17,12:00,3388.65000,3397.50700,3366.07900,3379.28400,79070
2025.06.17,16:00,3379.38600,3392.49900,3376.65100,3385.67500,38518
2025.06.17,20:00,3385.62900,3396.29300,3383.63400,3387.38600,15332
2025.06.18,00:00,3387.29500,3391.52400,3370.65500,3390.96000,35165
2025.06.18,04:00,3390.92800,3399.99700,3377.04300,3385.99100,36564
2025.06.18,08:00,3385.89400,3388.36100,3375.43300,3382.04800,31137
2025.06.18,12:00,3381.99900,3396.85200,3373.83300,3392.74000,58517
2025.06.18,16:00,3392.69800,3395.82000,3362.86700,3366.81800,63142
2025.06.18,20:00,3366.77100,3379.89000,3362.47400,3375.02300,21018
2025.06.19,00:00,3375.04200,3387.89600,3369.71700,3373.60900,35642
